phone,gender,age,state,region,income,incomeGroup,maritalStatus,employment,education,ethnicity,hispanic,product_purchased
552069996,Male,37,GEORGIA,South,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"Yes, Mexican, Mexican American, Chicano",LG Smart TV
562646720,Male,45,KANSAS,Midwest,"$75,000 to $79,999","$75,000 to $99,999","Single, never married",Employed part time,Doctorate degree,Some other race,"No, not of Hispanic, Latino, or Spanish origin",Dell XPS
525071858,Male,50,IOWA,Midwest,"$200,000 to $249,999","$150,000 or more",Married,Employed full time,Master's or professional degree,Asian - Filipino,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Office
534646081,Male,54,FLORIDA,South,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Associate's degree,Some other race,"Yes, another Hispanic, Latino, or Spanish origin - Argentina",Autodesk AutoCAD
568667959,Male,29,WASHINGTON,West,"$70,000 to $74,999","$50,000 to $74,999","Single, never married",Employed full time,Bachelor's degree,Some other race,"Yes, Mexican, Mexican American, Chicano",Microsoft Office
579174305,Female,41,TEXAS,South,"$95,000 to $99,999","$75,000 to $99,999",Domestic partnership/living with someone,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Surface
527805035,Male,37,SOUTH CAROLINA,South,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,Bachelor's degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Philips Hue Lights
588610249,Female,44,MISSOURI,Midwest,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Versa Smartwatch
599899395,Female,32,DISTRICT OF COLUMBIA,South,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Dyson Vacuum Cleaner
529193421,Female,27,WASHINGTON,West,"$150,000 to $174,999","$150,000 or more",Married,Employed part time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch
511804408,Female,36,PENNSYLVANIA,Northeast,"$60,000 to $64,999","$50,000 to $74,999",Married,Self-employed full-time,Other post high school vocational training,Prefer not to answer,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
526722573,Male,32,MASSACHUSETTS,Northeast,"$60,000 to $64,999","$50,000 to $74,999","Single, never married",Employed full time,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch Pro Controller
512669081,Male,45,ARIZONA,West,"$55,000 to $59,999","$50,000 to $74,999",Married,Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Nest Thermostat
566168060,Female,45,FLORIDA,South,"$95,000 to $99,999","$75,000 to $99,999",Married,Self-employed part-time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Sony PlayStation
548540148,Female,35,NORTH CAROLINA,South,"$65,000 to $69,999","$50,000 to $74,999",Married,Employed full time,Other post high school vocational training,White,"No, not of Hispanic, Latino, or Spanish origin",GoPro Action Camera
554132911,Female,39,NORTH CAROLINA,South,"$55,000 to $59,999","$50,000 to $74,999",Married,Employed full time,Some high school or less,White,"No, not of Hispanic, Latino, or Spanish origin",Xbox
570846431,Male,29,WYOMING,West,"$75,000 to $79,999","$75,000 to $99,999",Married,Employed full time,Other post high school vocational training,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
589357975,Female,25,TENNESSEE,South,"$65,000 to $69,999","$50,000 to $74,999",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",LG Washing Machine
532429961,Female,29,MASSACHUSETTS,Northeast,"$70,000 to $74,999","$50,000 to $74,999",Married,Employed part time,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",Canon EOS
566724165,Female,51,GEORGIA,South,"$60,000 to $64,999","$50,000 to $74,999",Married,Self-employed part-time,Other post high school vocational training,White,"No, not of Hispanic, Latino, or Spanish origin",HP Pavilion
582222222,Male,49,TEXAS,South,"$90,000 to $94,999","$75,000 to $99,999",Married,Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Versa Smartwatch
596099161,Male,33,TEXAS,South,"$80,000 to $84,999","$75,000 to $99,999",Domestic partnership/living with someone,Self-employed full-time,"Completed some college, but no degree",White,"Yes, Mexican, Mexican American, Chicano",Xbox
521122334,Male,39,MICHIGAN,Midwest,"$95,000 to $99,999","$75,000 to $99,999",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch Pro Controller
521421242,Female,38,MINNESOTA,Midwest,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Amazon Kindle
558556041,Female,32,CONNECTICUT,Northeast,"$70,000 to $74,999","$50,000 to $74,999","Single, never married",Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",HP Pavilion
516411529,Female,34,WASHINGTON,West,"$100,000 to $124,999","$100,000 to $124,999","Separated, divorced or widowed",Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Lenovo ThinkPad
568514576,Female,47,WASHINGTON,West,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed part time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Charge
551538974,Female,41,OHIO,Midwest,"$75,000 to $79,999","$75,000 to $99,999",Married,Self-employed part-time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Charge
518817746,Male,36,ILLINOIS,Midwest,"$100,000 to $124,999","$100,000 to $124,999","Separated, divorced or widowed",Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Xbox
527528126,Male,33,OHIO,Midwest,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Adobe Photoshop
525122209,Male,54,COLORADO,West,"$80,000 to $84,999","$75,000 to $99,999",Married,Self-employed full-time,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",GoPro Action Camera
599812646,Male,25,NEVADA,West,"$55,000 to $59,999","$50,000 to $74,999",Domestic partnership/living with someone,Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Charge
526173915,Male,40,NEW JERSEY,Northeast,"$100,000 to $124,999","$100,000 to $124,999","Single, never married",Self-employed full-time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Autodesk AutoCAD
541381956,Female,33,NORTH CAROLINA,South,"$85,000 to $89,999","$75,000 to $99,999",Domestic partnership/living with someone,Self-employed full-time,Some high school or less,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
596736498,Female,35,NEW YORK,Northeast,"$60,000 to $64,999","$50,000 to $74,999",Married,Self-employed full-time,Bachelor's degree,Some other race,"No, not of Hispanic, Latino, or Spanish origin",GoPro Hero
548476636,Female,29,MICHIGAN,Midwest,"$50,000 to $54,999","$50,000 to $74,999",Domestic partnership/living with someone,Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Canon EOS
562017766,Female,31,MAINE,Northeast,"$65,000 to $69,999","$50,000 to $74,999","Single, never married",Employed full time,Other post high school vocational training,White,"No, not of Hispanic, Latino, or Spanish origin",Amazon Kindle
571955364,Male,43,GEORGIA,South,"$55,000 to $59,999","$50,000 to $74,999",Married,Self-employed full-time,Bachelor's degree,Some other race,"No, not of Hispanic, Latino, or Spanish origin",Google Pixel
554062350,Male,44,MINNESOTA,Midwest,"$70,000 to $74,999","$50,000 to $74,999","Separated, divorced or widowed",Self-employed full-time,Other post high school vocational training,White,"No, not of Hispanic, Latino, or Spanish origin",Amazon Echo
565171307,Male,52,NORTH CAROLINA,South,"$50,000 to $54,999","$50,000 to $74,999",Married,Employed full time,Some high school or less,White,"No, not of Hispanic, Latino, or Spanish origin",GoPro Hero
543140580,Female,50,TENNESSEE,South,"$70,000 to $74,999","$50,000 to $74,999","Separated, divorced or widowed",Self-employed full-time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",LG Smart TV
511366938,Female,44,FLORIDA,South,"$50,000 to $54,999","$50,000 to $74,999",Married,Employed full time,"Completed some college, but no degree",Some other race,"No, not of Hispanic, Latino, or Spanish origin",Dell XPS
578272048,Female,43,CALIFORNIA,West,"$75,000 to $79,999","$75,000 to $99,999",Married,Self-employed part-time,Bachelor's degree,Asian - Filipino,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Office
596102223,Female,28,NEW YORK,Northeast,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Autodesk AutoCAD
584602708,Female,31,TEXAS,South,"$60,000 to $64,999","$50,000 to $74,999","Single, never married",Employed full time,Master's or professional degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Microsoft Office
504702811,Female,31,MINNESOTA,Midwest,"$50,000 to $54,999","$50,000 to $74,999","Single, never married",Employed full time,Master's or professional degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Microsoft Surface
581171897,Male,25,MICHIGAN,Midwest,"$50,000 to $54,999","$50,000 to $74,999","Single, never married",Employed part time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Philips Hue Lights
516716333,Female,32,WASHINGTON,West,"$70,000 to $74,999","$50,000 to $74,999",Married,Employed full time,Some high school or less,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Versa Smartwatch
520765689,Male,52,TEXAS,South,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Dyson Vacuum Cleaner
525473561,Female,34,TEXAS,South,"$90,000 to $94,999","$75,000 to $99,999",Married,Self-employed part-time,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch
576422902,Female,50,SOUTH DAKOTA,Midwest,"$90,000 to $94,999","$75,000 to $99,999",Married,Self-employed full-time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
572628582,Female,39,NEW YORK,Northeast,"$50,000 to $54,999","$50,000 to $74,999",Domestic partnership/living with someone,Self-employed part-time,Some high school or less,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch Pro Controller
507017960,Female,37,MASSACHUSETTS,Northeast,"$150,000 to $174,999","$150,000 or more",Married,Self-employed part-time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Nest Thermostat
500048353,Female,36,GEORGIA,South,"$55,000 to $59,999","$50,000 to $74,999","Single, never married",Employed full time,Bachelor's degree,Prefer not to answer,"No, not of Hispanic, Latino, or Spanish origin",Sony PlayStation
522808530,Male,33,OREGON,West,"$85,000 to $89,999","$75,000 to $99,999","Separated, divorced or widowed",Self-employed full-time,Other post high school vocational training,White,"No, not of Hispanic, Latino, or Spanish origin",GoPro Action Camera
522642427,Female,46,OREGON,West,"$125,000 to $149,999","$125,000 to $149,999",Married,Employed part time,"Completed some college, but no degree",Asian - Asian Indian,"No, not of Hispanic, Latino, or Spanish origin",Xbox
577063319,Female,50,FLORIDA,South,"$50,000 to $54,999","$50,000 to $74,999","Separated, divorced or widowed",Self-employed part-time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
543588970,Male,27,NEW YORK,Northeast,"$80,000 to $84,999","$75,000 to $99,999","Single, never married",Self-employed full-time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",LG Washing Machine
517051538,Female,40,CALIFORNIA,West,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,"Completed some college, but no degree",Some other race,"Yes, Mexican, Mexican American, Chicano",Canon EOS
520462076,Female,77,MASSACHUSETTS,Northeast,"$50,000 to $54,999","$50,000 to $74,999",Married,Retired,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Dyson Vacuum Cleaner
587224452,Female,61,CONNECTICUT,Northeast,"$65,000 to $69,999","$50,000 to $74,999",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",iPhone
523747773,Male,75,NEW YORK,Northeast,"$50,000 to $54,999","$50,000 to $74,999",Married,Retired,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Asus ROG
517434155,Female,78,NEW JERSEY,Northeast,"$50,000 to $54,999","$50,000 to $74,999",Married,Retired,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Dyson Vacuum Cleaner
556800188,Male,69,OHIO,Midwest,"$100,000 to $124,999","$100,000 to $124,999",Married,Retired,Other post high school vocational training,Prefer not to answer,Prefer not to answer,Fitbit Charge
549087429,Female,76,PENNSYLVANIA,Northeast,"$55,000 to $59,999","$50,000 to $74,999",Married,Retired,Other post high school vocational training,White,"No, not of Hispanic, Latino, or Spanish origin",Dyson Vacuum Cleaner
578299514,Male,55,SOUTH CAROLINA,South,"$80,000 to $84,999","$75,000 to $99,999","Separated, divorced or widowed",Disabled,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch
555264930,Male,37,SOUTH CAROLINA,South,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,Bachelor's degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",LG Smart TV
598050635,Male,68,NORTH CAROLINA,South,"$70,000 to $74,999","$50,000 to $74,999",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Dyson Vacuum Cleaner
575075552,Female,46,NEW YORK,Northeast,"$175,000 to $199,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Bose SoundLink Speaker
562807405,Male,43,MICHIGAN,Midwest,"$80,000 to $84,999","$75,000 to $99,999",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Amazon Echo
500395715,Male,79,NORTH CAROLINA,South,"$175,000 to $199,999","$150,000 or more","Separated, divorced or widowed",Retired,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch Pro Controller
512451826,Female,75,NEW JERSEY,Northeast,"$50,000 to $54,999","$50,000 to $74,999","Separated, divorced or widowed",Retired,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Samsung Galaxy
584533077,Female,35,VIRGINIA,South,"$250,000 and above","$150,000 or more",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Office
532824900,Female,46,NEW YORK,Northeast,"$90,000 to $94,999","$75,000 to $99,999","Single, never married",Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Sony 4K HDR TV
559634191,Female,74,NEW JERSEY,Northeast,"$75,000 to $79,999","$75,000 to $99,999",Married,Retired,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",iPhone
567325838,Female,52,RHODE ISLAND,Northeast,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",iPhone
587127061,Female,64,NEW YORK,Northeast,"$60,000 to $64,999","$50,000 to $74,999",Married,Employed full time,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Google Nest
527725154,Female,83,FLORIDA,South,"$100,000 to $124,999","$100,000 to $124,999",Married,Retired,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",HP Pavilion
,Male,77,HAWAII,West,"$95,000 to $99,999","$75,000 to $99,999","Single, never married",Retired,"Completed some college, but no degree",Asian - Chinese,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Charge
,Male,76,ARIZONA,West,"$70,000 to $74,999","$50,000 to $74,999","Separated, divorced or widowed",Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,49,OKLAHOMA,South,"$90,000 to $94,999","$75,000 to $99,999",Married,Full-time homemaker,"Completed some college, but no degree",White,"Yes, another Hispanic, Latino, or Spanish origin - Other",
,Female,41,INDIANA,Midwest,"$55,000 to $59,999","$50,000 to $74,999",Domestic partnership/living with someone,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,81,KANSAS,Midwest,"$95,000 to $99,999","$75,000 to $99,999","Separated, divorced or widowed",Retired,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,74,OHIO,Midwest,"$65,000 to $69,999","$50,000 to $74,999","Separated, divorced or widowed",Retired,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",
,Male,69,OREGON,West,"$50,000 to $54,999","$50,000 to $74,999",Married,Retired,Bachelor's degree,Asian - Filipino,"Yes, Mexican, Mexican American, Chicano",
,Female,68,MINNESOTA,Midwest,"$50,000 to $54,999","$50,000 to $74,999",Married,Retired,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,52,MICHIGAN,Midwest,"$55,000 to $59,999","$50,000 to $74,999","Separated, divorced or widowed",Disabled,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Male,73,MINNESOTA,Midwest,"$250,000 and above","$150,000 or more",Married,Retired,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,75,CALIFORNIA,West,"$70,000 to $74,999","$50,000 to $74,999","Separated, divorced or widowed",Retired,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,62,MINNESOTA,Midwest,"$100,000 to $124,999","$100,000 to $124,999","Single, never married",Self-employed part-time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,45,VIRGINIA,South,"$75,000 to $79,999","$75,000 to $99,999",Married,Employed full time,Other post high school vocational training,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",
,Female,64,KENTUCKY,South,"$65,000 to $69,999","$50,000 to $74,999","Single, never married",Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,69,OHIO,Midwest,"$50,000 to $54,999","$50,000 to $74,999","Separated, divorced or widowed",Retired,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,71,KANSAS,Midwest,"$75,000 to $79,999","$75,000 to $99,999",Domestic partnership/living with someone,Retired,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",
,Male,80,ILLINOIS,Midwest,"$65,000 to $69,999","$50,000 to $74,999",Married,Retired,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,60,ILLINOIS,Midwest,"$50,000 to $54,999","$50,000 to $74,999","Separated, divorced or widowed",Retired,"Completed some college, but no degree","Black, or African American","No, not of Hispanic, Latino, or Spanish origin",
,Female,63,WISCONSIN,Midwest,"$175,000 to $199,999","$150,000 or more",Married,Retired,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,65,ARIZONA,West,"$90,000 to $94,999","$75,000 to $99,999",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,68,PENNSYLVANIA,Northeast,"$80,000 to $84,999","$75,000 to $99,999",Married,Employed full time,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,57,ARIZONA,West,"$50,000 to $54,999","$50,000 to $74,999",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",
,Male,53,NEBRASKA,Midwest,"$75,000 to $79,999","$75,000 to $99,999","Separated, divorced or widowed",Employed full time,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",
,Female,84,TEXAS,South,"$95,000 to $99,999","$75,000 to $99,999",Married,Retired,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",
